INFO 2024-03-09 18:55:09,085 "GET /finance/bill/ HTTP/1.1" 200 13334
INFO 2024-03-09 19:03:09,901 D:\Projects\Pro\revapp\apps\students\views.py changed, reloading.
INFO 2024-03-09 19:03:11,613 Watching for file changes with StatReloader
INFO 2024-03-09 19:03:13,186 "GET /finance/bill/ HTTP/1.1" 200 13334
INFO 2024-03-09 19:03:13,254 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2024-03-09 19:03:13,267 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2024-03-09 19:03:13,272 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2024-03-09 19:03:13,276 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2024-03-09 19:03:13,276 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2024-03-09 19:03:13,277 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2024-03-09 19:03:13,277 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2024-03-09 19:03:13,287 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2024-03-09 19:03:13,288 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2024-03-09 19:03:13,289 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2024-03-09 19:03:13,290 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2024-03-09 19:03:13,291 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2024-03-09 19:03:13,292 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2024-03-09 19:03:15,780 "GET /student/ HTTP/1.1" 200 14691
INFO 2024-03-09 19:03:17,507 "GET /student/select_enquiry/ HTTP/1.1" 200 11733
INFO 2024-03-09 19:03:21,216 "GET /student/ HTTP/1.1" 200 14691
INFO 2024-03-09 19:03:22,590 "GET /student/list HTTP/1.1" 200 11014
INFO 2024-03-09 19:03:24,268 "GET /student/1/ HTTP/1.1" 200 13667
INFO 2024-03-09 19:03:24,370 "GET /static/dist/img/avatar.png HTTP/1.1" 304 0
INFO 2024-03-09 19:03:26,304 "GET /student/1/update/ HTTP/1.1" 200 19599
INFO 2024-03-09 19:03:31,922 "GET /student/1/update/ HTTP/1.1" 200 19599
INFO 2024-03-09 19:04:36,877 D:\Projects\Pro\revapp\apps\students\views.py changed, reloading.
INFO 2024-03-09 19:04:38,575 Watching for file changes with StatReloader
INFO 2024-03-09 19:04:39,542 "GET /student/1/update/ HTTP/1.1" 200 19326
INFO 2024-03-09 19:04:46,452 "GET /finance/1/detail/ HTTP/1.1" 200 11745
INFO 2024-03-09 19:04:47,811 "GET /finance/1/update/ HTTP/1.1" 200 13598
INFO 2024-03-09 19:04:50,843 "GET /student/ HTTP/1.1" 200 14691
INFO 2024-03-09 19:06:01,468 "GET /student/ HTTP/1.1" 200 14691
INFO 2024-03-09 19:06:03,884 "GET /student/ HTTP/1.1" 200 14691
INFO 2024-03-09 19:06:05,483 "GET /enquiry/list HTTP/1.1" 200 11132
INFO 2024-03-09 19:06:10,082 "GET /enquiry/1/ HTTP/1.1" 200 12920
INFO 2024-03-09 19:06:11,670 "GET /enquiry/1/histroy HTTP/1.1" 200 11766
INFO 2024-03-09 19:08:49,812 D:\Projects\Pro\revapp\apps\enquiry\forms.py changed, reloading.
INFO 2024-03-09 19:08:52,070 Watching for file changes with StatReloader
INFO 2024-03-09 19:10:23,002 D:\Projects\Pro\revapp\apps\enquiry\models.py changed, reloading.
INFO 2024-03-09 19:10:45,867 Watching for file changes with StatReloader
INFO 2024-03-09 19:10:48,594 "GET /enquiry/1/histroy HTTP/1.1" 200 12034
INFO 2024-03-09 19:10:48,796 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2024-03-09 19:10:48,805 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2024-03-09 19:10:48,806 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2024-03-09 19:10:48,808 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
